9,14,1,2,3,7,9,11,10,10,2,15,5,13,9
14,9,6,8,10,3,12,4,3,5,7,7,15,14,13
13,6,10,7,9,3,8,1,12,14,4,2,11,8,6
11,12,7,3,12,13,11,7,14,15,10,6,9,1,4
3,4,11,3,7,1,12,15,8,13,14,14,12,13,2
8,15,3,5,11,6,1,10,2,4,5,11,7,10,6
10,12,15,11,4,9,4,13,11,7,5,3,14,2,6
6,9,12,12,14,15,4,3,13,6,6,12,8,11,5
7,13,12,9,15,13,3,2,13,1,6,12,10,6,8
11,2,4,14,2,10,7,11,6,12,3,9,1,2,6
4,2,5,1,6,12,2,10,14,3,13,1,4,5,3
9,14,8,11,2,5,14,1,11,10,4,4,6,6,7
6,8,5,12,13,13,15,14,8,3,10,1,2,7,10
3,4,9,15,5,14,13,6,7,3,1,2,3,3,11
15,10,14,9,1,4,13,7,3,9,8,11,6,5,14
